Date,Opponent,Score,BC_to,BC_stl,S_ft_pct,R_reb,S_3pt,S_fg_pct
29-Mar,at Indian River State College,"W, 71-66",0,12,33.3,46,5,60.8
31-Mar,at St. Petersburg College,"W, 95-85",0,9,78.3,37,13,54.2
1-Nov,Palm Beach State College,"W, 71-63",11,9,53.3,46,3,44.1
2-Nov,at St. Petersburg College,"L, 76-68",23,8,50,41,5,38.2
5-Nov,vs. Chipola College,"L, 95-40",50,8,42.9,38,4,32.6
6-Nov,vs. Pensacola State College,"L, 95-54",23,6,44.4,32,4,41.1
10-Nov,at Eastern Florida State College,"L, 84-64",18,8,88.9,34,4,42.3
12-Nov,vs. Tallahassee Community College,"W, 76-68",18,3,55.2,28,8,50
13-Nov,vs. Santa Fe College,"L, 83-68",17,0,85.7,47,8,46.6
15-Nov,at Daytona State College,"L, 71-57",26,4,70.6,51,6,36.7
19-Nov,at Tallahassee Community College,"W, 71-63",32,9,64.5,51,5,54.8
20-Nov,vs. Gulf Coast State College,"L, 84-62",16,6,84.2,37,8,43.2
23-Nov,Chipola College,"L, 74-49",36,8,58.8,53,3,34
1-Dec,at Palm Beach State College,"W, 81-54",11,10,60,51,8,48.5
3-Dec,Eastern Florida State College,"L, 77-65",12,12,57.9,33,8,37.7
4-Dec,Daytona State College,"L, 49-47",20,7,62.5,45,4,36.5
10-Dec,vs. Gulf Coast State College,"L, 73-62",12,6,68.2,41,3,32.8
11-Dec,vs. DME Academy,"L, 74-67",21,11,50,36,10,45.6
12-Dec,vs. Odessa College,"W, 74-73",0,14,62.5,51,6,43.9
16-Dec,Santa Fe College,"L, 80-70",0,8,56,30,6,49
17-Dec,St. Petersburg College,"W, 79-72",0,5,77.8,45,10,52.2
18-Dec,Morton College,"L, 77-53",0,2,45.8,39,8,32.7
12-Jan,at Hillsborough Community College,"L, 85-73",24,8,64.3,53,8,47.5
15-Jan,at Florida Southwestern State College,"L, 67-48",0,0,61.1,25,5,26.7
19-Jan,Indian River State College,"L, 64-51",0,0,61.9,36,2,47.4
29-Jan,Hillsborough Community College,"L, 94-84",0,13,71.4,38,5,63.8
2-Feb,Florida Southwestern State College,"L, 75-54",0,5,63.6,34,5,40.4
5-Feb,at Indian River State College,"L, 83-63",0,2,87.5,38,3,47.9
16-Feb,at Hillsborough Community College,"L, 93-74",3,12,72.2,48,5,49.1
19-Feb,at Florida Southwestern State College,"L, 80-62",0,0,66.7,31,8,37.3
22-Feb,Indian River State College,"L, 67-61",0,10,68.4,40,2,41.1
1-Nov,at Palm Beach State College,"L, 69-64",25,21,47.8,45,5,35.8
4-Nov,at St. Petersburg College,"L, 73-71",0,8,50,39,8,44.8
5-Nov,at Daytona State College,"W, 63-49",0,11,66.7,39,3,44
8-Nov,Eastern Florida State College,"L, 86-42",0,9,57.1,29,4,29.4
11-Nov,vs. College of Southern Idaho,"L, 73-57",5,9,66.7,49,5,37.3
12-Nov,Pensacola State College,"L, 67-45",17,6,65,50,2,35.7
13-Nov,vs. John A. Logan College,"L, 85-78",6,9,64.7,38,7,61.2
18-Nov,at Santa Fe College,"L, 85-78",0,8,61.9,40,7,54.7
19-Nov,vs. Eastern Florida State College,"L, 95-43",0,7,77.8,30,3,28.9
30-Nov,Palm Beach State College,"L, 90-63",0,16,75,34,3,41.4
2-Dec,at Daytona State College,"L, 71-53",26,11,57.1,48,3,33.9
3-Dec,vs. Northwest Florida State College,"L, 71-45",26,11,53.3,35,3,29.8
7-Dec,at Eastern Florida State College,"L, 107-31",23,2,-,9,3,38.9
10-Dec,vs. Chipola College,"W, 83-79",13,7,75,54,6,44.9
11-Dec,vs. Denmark Technical College,"W, 87-69",6,11,66.7,52,9,47.8
14-Dec,Johnson County Community College,"L, 78-54",0,12,48,29,2,33.9
16-Dec,St. Petersburg College,"L, 87-71",17,7,73.3,45,6,47.4
17-Dec,Morton College,"L, 99-51",0,5,70,23,6,37.3
7-Jan,Hillsborough Community College,"W, 76-70",2,5,68.2,54,11,46.3
8-Jan,Montgomery College (MD),"L, 92-87",0,4,84.4,48,8,48.1
11-Jan,Florida Southwestern State College,"L, 73-51",0,6,80,36,7,44.4
14-Jan,at Indian River State College,"L, 102-58",0,3,100,36,4,49.1
25-Jan,at Hillsborough Community College,"W, 81-66",0,5,68.4,58,6,55.4
28-Jan,at Florida Southwestern State College,"L, 90-62",18,4,83.3,29,9,57.1
1-Feb,Indian River State College,"L, 96-64",0,3,58.8,32,8,44.4
9-Feb,Hillsborough Community College,"L, 75-52",0,7,70,38,9,42.9
13-Feb,Florida Southwestern State College,"L, 76-58",21,5,100,38,11,55.9
16-Feb,at Indian River State College,"L, 92-34",0,1,75,32,0,40
10-Nov,at Northwest Florida State College,"L, 80-35",23,5,33.3,33,4,25.5
11-Nov,vs. Gulf Coast State College,"L, 83-53",28,8,61.5,39,5,29.4
24-Nov,vs. Georgia Highlands College,"W, 92-73",0,10,75,35,6,71.4
25-Nov,at South Georgia Technical College,"L, 65-62",2,2,55.6,42,1,56.9
1-Dec,vs. Western Wyoming Community College,"L, 72-67",4,6,61.1,33,8,42.9
2-Dec,vs. Chipola College,"L, 86-57",26,10,70,51,3,28.6
9-Dec,Florida Southwestern State College,"L, 59-48",14,8,70,20,1,45.9
11-Dec,Daytona State College,"L, 54-42",25,9,50,43,2,23.5
13-Dec,at St. Petersburg College,"W, 63-57",12,10,75,34,2,56.5
16-Dec,at Eastern Florida State College,"L, 84-67",9,4,68.4,23,8,41.8
18-Dec,Morton College,"L, 90-52",0,5,75,34,1,45.3
10-Jan,Indian River State College,"L, 71-64",20,7,77.8,32,5,38.8
13-Jan,Daytona State College,"W, 77-66",14,12,68.2,42,6,42.4
17-Jan,at St. Petersburg College,"L, 70-60",0,12,87.5,25,7,41.7
23-Jan,Eastern Florida State College,"L, 85-46",19,9,66.7,34,4,23.2
25-Jan,Indian River State College,"L, 60-51",19,10,71.4,32,3,32.8
27-Jan,at Florida Southwestern State College,"L, 44-39",13,10,68.8,42,6,20.8
30-Jan,Santa Fe College,"L, 76-66",14,8,88.2,42,11,26.3
31-Jan,at Santa Fe College,"W, 87-71",10,17,77.8,39,10,46.7
3-Feb,Hillsborough Community College,"L, 90-88",20,9,80,35,12,43.8
7-Feb,Palm Beach State College,"L, 75-72",11,12,56.3,33,3,45.5
10-Feb,at Indian River State College,"L, 75-74",13,6,58.3,27,9,49.2
13-Feb,at Daytona State College,"L, 77-65",14,7,45.5,40,6,40.3
15-Feb,at Hillsborough Community College,"L, 78-55",12,0,64.7,35,2,31.3
17-Feb,St. Petersburg College,"W, 102-60",12,23,80,40,8,45.2
21-Feb,at Palm Beach State College,"W, 73-61",0,11,52.9,22,6,55.8
24-Feb,at Eastern Florida State College,"L, 93-65",0,1,65.2,23,4,52.3
28-Feb,Florida Southwestern State College,"L, 81-68",18,9,57.1,29,10,39.7
2-Mar,Santa Fe College,"L, 70-53",0,0,77.3,41,7,25.9
4-Mar,at Hillsborough Community College,"L, 69-63",18,13,60,35,9,26.3
1-Nov,South Georgia Technical College,"L, 72-58",21,9,68.2,29,1,53.8
2-Nov,at Tallahassee State College,"W, 82-69",31,12,71.4,44,2,62.5
15-Nov,vs. Northwest Florida State College,"L, 80-58",24,15,42.9,35,5,38.5
16-Nov,vs. Western Wyoming Community College,"W, 101-87",19,5,72.7,43,9,56.8
22-Nov,vs. East Georgia State College,"W, 87-80",13,13,65.9,42,6,38.8
23-Nov,at DME Academy,"W, 77-54",11,3,76.9,48,7,41.1
2-Dec,Hillsborough Community College,"W, 85-75",23,9,75,54,5,43.1
7-Dec,at Santa Fe College,"W, 83-77",14,0,75,29,6,53.4
9-Dec,St. Petersburg College,"W, 97-60",9,17,46.2,44,11,46.5
14-Dec,Eastern Florida State College,"L, 56-49",17,10,55,51,2,25
16-Dec,at Florida Southwestern State College,"L, 86-70",15,7,69.2,28,7,40.3
18-Dec,at Daytona State College,"W, 109-81",16,13,67.9,53,6,49.4
30-Dec,at Pensacola State College,"L, 76-74",22,12,55.2,57,8,32.1
31-Dec,vs. Mississippi Gulf Coast Community College,"W, 89-76",5,9,64.7,33,10,55.7
3-Jan,vs. Bryant & Stratton College (VA),"L, 77-75",14,12,92.3,29,7,40.6
4-Jan,vs. Montgomery College (MD),"W, 132-68",15,26,66.7,56,12,50
11-Jan,at Daytona State College,"W, 89-78",15,13,44.4,41,7,50.6
15-Jan,St. Petersburg College,"W, 99-46",14,25,84.2,55,13,43.2
18-Jan,Santa Fe College,"W, 72-55",17,13,82.6,55,3,32.9
22-Jan,at Eastern Florida State College,"L, 82-68",22,7,50,38,8,43.1
25-Jan,Florida Southwestern State College,"W, 77-51",12,15,72.7,47,5,40.5
1-Feb,at Hillsborough Community College,"L, 105-100",26,11,66.7,66,10,37.9
5-Feb,at Palm Beach State College,"W, 87-60",18,8,38.5,41,7,44.3
12-Feb,Daytona State College,"W, 78-69",13,12,58.8,50,6,39.7
15-Feb,at St. Petersburg College,"W, 78-66",16,7,65.6,43,5,33.8
19-Feb,Palm Beach State College,"W, 90-69",23,18,78.6,44,3,54.3
22-Feb,Eastern Florida State College,"W, 89-88",14,11,74.4,48,6,34.2
26-Feb,at Florida Southwestern State College,"L, 74-60",12,8,75,34,2,41.3
1-Mar,at Santa Fe College,"W, 80-56",18,20,50,34,5,39.8
3-Mar,Hillsborough Community College,"W, 87-60",15,7,70.6,68,11,36.8
12-Mar,vs. Chipola College,"L, 74-70",12,12,58.3,57,7,31.8
