Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off eff,P_net eff,OP_pf,OP_def eff,OP_net eff,Win,PointsScored,PointsGiven
2024-11-01,South Georgia Technical College, 72-58,21,9,3,9,31,8,0,20,21-39,53.8,1-3,33.3,15-22,68.2,58.0,27-48,56.3,7-19,36.8,72.0,13,16,29,-15,15,29,44,-15,17,1.0,0.04,24,0.96,0.04,0,72,58
2024-11-02,at Tallahassee State College, 82-69,31,12,1,10,26,17,1,15,35-56,62.5,2-4,50.0,10-14,71.4,82.0,22-65,33.8,6-21,28.6,69.0,19,25,44,15,10,19,29,15,19,1.093,0.375,0,0.719,0.375,1,82,69
2024-11-15,vs. Northwest Florida State College, 80-58,24,15,6,13,21,12,4,23,25-65,38.5,5-17,29.4,3-7,42.9,58.0,30-63,47.6,5-14,35.7,80.0,15,20,35,-8,17,26,43,-8,19,0.748,-0.284,10,1.032,-0.284,0,80,58
2024-11-16,vs. Western Wyoming Community College, 101-87,19,5,5,19,15,11,2,19,42-74,56.8,9-17,52.9,8-11,72.7,101.0,35-70,50.0,9-17,52.9,87.0,14,29,43,13,10,20,30,13,12,1.195,0.128,16,1.067,0.128,1,101,87
2024-11-22,vs. East Georgia State College, 87-80,13,13,4,13,19,10,3,17,26-67,38.8,6-22,27.3,29-44,65.9,87.0,32-73,43.8,10-30,33.3,80.0,18,24,42,-10,17,35,52,-10,18,1.036,0.042,34,0.994,0.042,1,87,80
2024-11-23,at DME Academy, 77-54,11,3,1,13,17,4,0,11,30-73,41.1,7-22,31.8,10-13,76.9,77.0,22-68,32.4,6-22,27.3,54.0,19,29,48,5,18,25,43,5,12,1.077,0.327,16,0.75,0.327,1,77,54
2024-12-02,Hillsborough Community College, 85-75,23,9,5,19,20,9,3,19,31-72,43.1,5-21,23.8,18-24,75.0,85.0,29-78,37.2,9-33,27.3,75.0,16,38,54,13,13,28,41,13,17,0.934,0.119,19,0.815,0.119,1,85,75
2024-12-07,at Santa Fe College, 83-77,14,0,0,14,23,11,3,18,31-58,53.4,6-17,35.3,15-20,75.0,83.0,31-72,43.1,4-21,19.0,77.0,15,14,29,-12,15,26,41,-12,0,1.239,0.364,15,0.875,0.364,1,83,77
2024-12-09,St. Petersburg College, 97-60,9,17,4,25,29,3,2,15,40-86,46.5,11-28,39.3,6-13,46.2,97.0,24-54,44.4,5-10,50.0,60.0,24,20,44,14,10,20,30,14,12,1.252,0.472,9,0.779,0.472,1,97,60
2024-12-14,Eastern Florida State College, 56-49,17,10,6,11,21,8,2,9,18-72,25.0,2-14,14.3,11-20,55.0,49.0,19-56,33.9,3-12,25.0,56.0,23,28,51,7,8,36,44,7,19,0.645,-0.078,20,0.723,-0.078,0,56,49
2024-12-16,at Florida Southwestern State College, 86-70,15,7,4,11,21,11,3,23,27-67,40.3,7-30,23.3,9-13,69.2,70.0,33-64,51.6,6-19,31.6,86.0,12,16,28,-20,18,30,48,-20,21,0.915,-0.195,13,1.11,-0.195,0,86,70
2024-12-18,at Daytona State College, 109-81,16,13,2,18,21,11,3,12,42-85,49.4,6-16,37.5,19-28,67.9,109.0,32-84,38.1,5-21,23.8,81.0,20,33,53,8,19,26,45,8,16,1.147,0.286,22,0.862,0.286,1,109,81
2024-12-30,at Pensacola State College, 76-74,22,12,8,12,12,6,0,13,25-78,32.1,8-30,26.7,16-29,55.2,74.0,24-81,29.6,5-36,13.9,76.0,19,38,57,26,7,24,31,26,22,0.775,0.03,26,0.745,0.03,0,76,74
2024-12-31,vs. Mississippi Gulf Coast Community College, 89-76,5,9,0,13,19,6,1,16,34-61,55.7,10-16,62.5,11-17,64.7,89.0,23-64,35.9,8-25,32.0,76.0,10,23,33,-16,15,34,49,-16,18,1.38,0.459,15,0.921,0.459,1,89,76
2025-01-03,vs. Bryant & Stratton College (VA), 77-75,14,12,2,13,12,15,0,24,28-69,40.6,7-23,30.4,12-13,92.3,75.0,28-66,42.4,8-21,38.1,77.0,9,20,29,-10,19,20,39,-10,19,0.932,-0.209,16,1.141,-0.209,0,77,75
2025-01-04,vs. Montgomery College (MD), 132-68,15,26,1,34,38,13,2,17,53-106,50.0,12-26,46.2,14-21,66.7,132.0,25-64,39.1,9-30,30.0,68.0,24,32,56,32,13,11,24,32,17,1.228,0.52,18,0.708,0.52,1,132,68
2025-01-11,at Daytona State College, 89-78,15,13,4,19,19,4,3,21,39-77,50.6,7-18,38.9,4-9,44.4,89.0,31-64,48.4,10-30,33.3,78.0,16,25,41,9,9,23,32,9,11,1.106,0.131,10,0.975,0.131,1,89,78
2025-01-15,St. Petersburg College, 99-46,14,25,1,27,30,7,2,11,35-81,43.2,13-35,37.1,16-19,84.2,99.0,20-63,31.7,2-14,14.3,46.0,19,36,55,16,11,28,39,16,16,1.158,0.623,13,0.535,0.623,1,99,46
2025-01-18,Santa Fe College, 72-55,17,13,3,17,19,6,3,10,25-76,32.9,3-21,14.3,19-23,82.6,72.0,23-68,33.8,1-13,7.7,55.0,19,36,55,10,10,35,45,10,6,0.842,0.171,19,0.671,0.171,1,72,55
2025-01-22,at Eastern Florida State College, 82-68,22,7,0,10,17,13,1,22,28-65,43.1,8-24,33.3,4-8,50.0,68.0,34-70,48.6,6-18,33.3,82.0,10,28,38,-5,13,30,43,-5,13,0.84,-0.167,13,1.006,-0.167,0,82,68
2025-01-25,Florida Southwestern State College, 77-51,12,15,1,19,22,5,6,14,32-79,40.5,5-23,21.7,8-11,72.7,77.0,19-65,29.2,5-22,22.7,51.0,15,32,47,2,13,32,45,2,12,0.945,0.299,12,0.646,0.299,1,77,51
2025-02-01,at Hillsborough Community College, 105-100,26,11,5,20,21,15,2,29,39-103,37.9,10-28,35.7,12-18,66.7,100.0,37-101,36.6,16-56,28.6,105.0,27,39,66,16,22,28,50,16,16,0.901,-0.067,16,0.968,-0.067,0,105,100
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,28,13,2,22,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-02-05,at Palm Beach State College, 87-60,18,8,7,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
